AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
4329.252016177874,4009.1798571955933,4289.183762216112,4148.152134355903,4350.206817998888,4586.192334690529,4096.912111582786,4641.068252617665,4222.047067785741,4238.504084972458,4211.262673621114,4280.509561241904,4635.972756636644,4393.821297894216,0.0
4329.276575985602,4009.5458508895777,4289.846850062382,4149.876996576615,4348.948890593537,4585.743231186428,4095.9698027464938,4636.083925127325,4218.658841770691,4237.629679028946,4211.043057345759,4280.843897270316,4635.782573404182,4393.707079461802,0.0
4329.159168958197,4009.806794512303,4290.179691725593,4151.312677367428,4347.709375300676,4585.2913737169065,4095.0380107455217,4631.297466734258,4215.329742292248,4236.67168874122,4210.680948054977,4280.980910953943,4635.374559052466,4393.398359671765,0.0
4328.778393502632,4009.86715724978,4289.906758936774,4152.195492579336,4346.505618661093,4584.844081906926,4094.130816596862,4626.8957248132465,4212.129647156931,4235.577565797214,4210.075213548821,4280.766903435812,4634.586657958398,4392.737854906694,0.0
4328.0441111818,4009.656001880248,4288.829298810876,4152.322706337632,4345.356009917842,4584.412956813027,4093.264984271912,4623.03265669426,4209.126745290409,4234.316705634597,4209.161587039142,4280.097206107455,4633.308795868591,4391.620422110664,0.0
4326.908804162341,4009.1358927420965,4286.848573506389,4151.574316140726,4344.279683336338,4584.014279373863,4092.4597957559135,4619.817329819735,4206.385073971968,4232.886254492942,4207.921866800858,4278.929790362641,4631.498124029793,4390.008828192794,0.0
4325.374531446925,4008.308272745691,4283.976320908866,4149.9253543152645,4343.295884677926,4583.668274538315,4091.735874505552,4617.307087166928,4203.962293154327,4231.31389304456,4206.387271862087,4277.290443866408,4629.186339904995,4387.940650804181,0.0
4323.494584706888,4007.214656466882,4280.331381703408,4147.447411068708,4342.423000096313,4583.397254167053,4091.113104347101,4615.506539894129,4201.90783114458,4229.657204964687,4204.635572307425,4275.268952891663,4626.478109536991,4385.525383296649,0.0
4321.369415862678,4005.933362162841,4276.123256142943,4144.299361180215,4341.677266351671,4583.222865832782,4090.607963133943,4614.372290456278,4200.2614040934295,4227.999510538571,4202.782325764704,4273.006943248173,4623.540560933629,4382.932027098092,0.0
4319.1369820699865,4004.5719445505683,4271.625037633018,4140.7085369237675,4341.071223207085,4583.162857412149,4090.2307449937616,4613.822540934499,4199.05179420266,4226.442368503818,4200.967241140952,4270.679139315992,4620.584826544936,4380.368649761703,0.0
4316.958287532573,4003.2559614881657,4267.139494205989,4136.944682946508,4340.6120321420485,4583.227885432928,4089.9832096616415,4613.750107084956,4198.295702194827,4225.095308699452,4199.337285101016,4268.470652192097,4617.841588432148,4378.056423655295,0.0
4314.999528122016,4002.115164326686,4262.962859613439,4133.289826708616,4340.299858248969,4583.418925503507,4089.857158103045,4614.03693287872,4197.996492669657,4224.063720753809,4198.028576380091,4266.553392308861,4615.5334052436565,4376.201406751949,0.0
4313.412776932126,4001.268583964276,4259.351054967218,4130.007610791386,4340.126573546098,4583.725777639073,4089.834296652401,4614.568052380028,4198.142735345467,4223.436141392467,4197.149316909379,4265.064759341826,4613.847152378103,4374.967678642793,0.0
4312.31749282377,4000.8102284687634,4256.492579350628,4127.315618368839,4340.075066271944,4584.127006360558,4089.887542182717,4615.24310637376,4198.706600508654,4223.2723979581815,4196.765944012591,4264.091391560205,4612.910076335844,4374.455339947171,0.0
4311.785207723912,4000.7971572255765,4254.491262079913,4125.363789214181,4340.11941304916,4584.591438861329,4089.9836767709025,4615.983973081358,4199.642363064153,4223.594123801895,4196.89433964543,4263.660014216214,4612.772679716408,4374.686315322592,0.0
4311.829501440063,4001.241515698235,4253.360616381403,4124.221229130509,4340.226081507563,4585.081099327453,4090.0870261844843,4616.737748871198,4200.885459713677,4224.379022588695,4197.497322396144,4263.736417687453,4613.400903233392,4375.599924824225,0.0
4312.402802221768,4002.1077012368455,4253.0298858429205,4123.872661397884,4340.356187569762,4585.5552238451955,4090.1636540490676,4617.475107125447,4202.352672757302,4225.559909896743,4198.488838259707,4264.232461707549,4614.678918466474,4377.058921194274,0.0
4313.400710309132,4003.3152196924248,4253.360268316095,4124.22458594284,4340.468656579637,4585.974816781888,4090.185464520774,4618.184836798742,4203.9440299480475,4227.029022767,4199.744358004025,4265.019899788639,4616.422428145098,4378.865296286683,0.0
4314.6735366315015,4004.7470582528586,4254.168465566634,4125.120046640378,4340.523963900713,4586.307106680269,4090.133607132329,4618.865980163297,4205.546878151655,4228.647418785109,4201.116110960298,4265.948901526523,4618.400888392751,4380.783830819827,0.0
4316.043725485875,4006.262644180502,4255.253827466314,4126.359902995799,4340.487995057825,4586.529255389579,4090.000677084855,4619.519339747706,4207.04230465474,4230.258575581344,4202.451075257966,4266.868548741139,4620.3657495251755,4382.5702911383905,0.0
4317.326950493457,4007.7137977580965,4256.425053877186,4127.727782599728,4340.335499487363,4586.630770723717,4089.7913848919475,4620.140143576948,4208.313676572525,4231.704659210453,4203.609226404725,4267.646379882236,4622.08088040884,4384.0005281245485,0.0
4318.354087134373,4008.961630244553,4257.522715446898,4129.01554220023,4340.052634555048,4586.6142569399035,4089.5216003286887,4620.71334448333,4209.2566147517,4232.843467800249,4204.479503987201,4268.184284329707,4623.35096747222,4384.8966126363,0.0
4318.991081621582,4009.8921667546947,4258.434694479013,4130.046126947455,4339.638209470804,4586.494381524766,4089.2159191499018,4621.212447304788,4209.7893072386005,4233.563868015833,4204.991314696698,4268.42866904928,4624.04394827706,4385.146576489393,0.0
4319.154000368176,4010.428628585553,4259.102884941994,4130.69117418809,4339.10342562618,4586.295204169681,4088.904118105766,4621.602023541297,4209.861796589196,4233.797679175664,4205.12010271835,4268.373738431217,4624.104427838851,4384.715258939699,0.0
4318.817227475703,4010.538774861344,4259.520923345284,4130.881491981754,4338.470139090112,4586.046263251569,4088.6170206908637,4621.843331100639,4209.462823026736,4233.526420885395,4204.8864715597665,4268.05779964771,4623.556400092749,4383.645046315348,0.0
4318.013777713677,4010.236411398797,4259.7241200358385,4130.609541036314,4337.767902034966,4585.778007584877,4088.3823694876787,4621.901849488782,4208.62300821185,4232.782061883103,4204.349370014365,4267.5535598030465,4622.495233197694,4382.046738120641,0.0
4316.827851740452,4009.5770150277813,4259.773905114359,4129.924121613233,4337.030231350591,4585.517265893219,4088.221281486206,4621.755178832172,4207.413604640151,4231.641774586174,4203.594774446497,4266.954248726696,4621.07050080237,4380.082151732156,0.0
4315.380893158591,4008.6482611962915,4259.739823556677,4128.9184663948,4336.29067031603,4585.283445762279,4088.1457562268874,4621.399692005712,4205.9406427513995,4230.217563339583,4202.721942316409,4266.357945149079,4619.462576950698,4377.941177838548,0.0
4313.813332960917,4007.556949919128,4259.682314088695,4127.713733413614,4335.5792319872035,4585.086046327438,4088.1575330522564,4620.854568825871,4204.334972834664,4228.642343467781,4201.829562959357,4265.852623339406,4617.8567374312815,4375.816658263386,0.0
4312.264782664745,4006.414293011782,4259.639178659568,4126.440381255603,4334.919736973254,4584.923869840682,4088.248383858428,4620.162319713254,4202.739299843228,4227.054480944621,4201.003954536842,4265.504162668428,4616.41869768802,4373.8805926118275,0.0
4310.855580723285,4005.321689232883,4259.617873339464,4125.220040559028,4334.328396995506,4584.786056391556,4088.4017174157143,4619.385524587127,4201.293739822878,4225.582892426855,4200.310901286535,4265.348937436904,4615.275058168937,4372.26479592857,0.0
4309.672298262932,4004.3589593525617,4259.594675221933,4124.1502721162815,4333.813777288946,4584.654783503472,4088.5951951755,4618.60015669155,4200.121619320559,4224.334555641038,4199.791919396802,4265.391752066978,4614.501131179892,4371.0483161710645,0.0
4308.759131258586,4003.576575956982,4259.520591014713,4123.294071712392,4333.378033327308,4584.50921226784,4088.803943385171,4617.886423751558,4199.317177454,4223.385760685889,4199.464857470284,4265.608965965145,4614.117290675181,4370.252830713789,0.0
4308.1161649222395,4002.9927792505805,4259.332764378268,4122.675231996141,4333.019101234241,4584.330065368423,4089.0039064312205,4617.318458320968,4198.9365467877,4222.777762155248,4199.327961404233,4265.955825527859,4614.093569348843,4369.846059495004,0.0
4307.704444239927,4002.59572244864,4258.969277002773,4122.279812055263,4332.733363242141,4584.104121287197,4089.174920429936,4616.954377061201,4198.992950723682,4222.5168074793755,4199.366013784527,4266.376423284289,4614.360975551382,4369.7521395550475,0.0
4307.456781967087,4002.350049945127,4258.384738603113,4122.063113096084,4332.518236269363,4583.827919455763,4089.3031782718986,4616.828190931256,4199.456542039004,4222.577942279739,4199.5569796498585,4266.814420294646,4614.827115714145,4369.86704886362,0.0
4307.292424936397,4002.2066826996725,4257.56397603739,4121.960823410123,4332.3741554532235,4583.510091159552,4089.382880928427,4616.944800252601,4200.258792639428,4222.911612001131,4199.877757506012,4267.222718415179,4615.393301279234,4370.076640588894,0.0
4307.1331882079585,4002.114152245069,4256.531450391876,4121.902467792886,4332.305541596592,4583.171940515621,4089.4169941479363,4617.278888301691,4201.300881284536,4223.451918747969,4200.308072942855,4267.570612646647,4615.970408587819,4370.274686506799,0.0
4306.91851370621,4002.029641573887,4255.3546872060915,4121.825037486477,4332.3205328995355,4582.846164005858,4089.4171280807836,4617.777988950212,4202.465143342703,4224.125427465709,4200.832132950943,4267.847501143033,4616.491269868177,4370.3785096687725,0.0
4306.617123502146,4001.927977214188,4254.140893761372,4121.684714324113,4332.429495600118,4582.573872498469,4089.4026146535616,4618.369414497581,4203.628357023443,4224.859582619167,4201.438232144911,4268.062866467005,4616.918161398387,4370.340250489401,0.0
4306.233477653569,4001.8071556294753,4253.026931579327,4121.464928578779,4332.642566106806,4582.400322327747,4089.3988741275243,4618.970164091756,4204.675450894309,4225.5900180043045,4202.116934871935,4268.242850620976,4617.244849961345,4370.152472294049,0.0
4305.808032515513,4001.689529560925,4252.163780269161,4121.179560131402,4332.966677866492,4582.369934783988,4089.4351538664514,4619.498468873844,4205.5121391211205,4226.266252915909,4202.8586656009575,4268.424234024641,4617.493499190966,4369.847579947886,0.0
4305.411219287348,4001.6184505354813,4251.697448519341,4120.87083161672,4333.402652931878,4582.521262559963,4089.5417142123483,4619.8853396845725,4206.075043016256,4226.855432782996,4203.651505977359,4268.6469367280015,4617.707402278922,4369.491310899778,0.0
4305.132000621802,4001.650869490121,4251.748858160548,4120.602250806499,4333.942964671967,4582.882540390818,4089.7465543974326,4620.08442257574,4206.338062292779,4227.343893715819,4204.47976750182,4268.94627121799,4617.94093346098,4369.171285266264,0.0
4305.062690353932,4001.8470388552664,4252.395476136038,4120.4477251144235,4334.570693399785,4583.468345458437,4090.071832194603,4620.078663243139,4206.314130059307,4227.736440037786,4205.323578088889,4269.34610855055,4618.248292735976,4368.98220662933,0.0
4305.282325274396,4002.258942867005,4253.65736089029,4120.478581853753,4335.260008596521,4584.2777154813775,4090.530234353005,4619.882721877277,4206.052012050552,4228.053365505807,4206.15940038954,4269.853915665597,4618.672595704236,4369.009735807948,0.0
4305.841171248656,4002.919332943896,4255.489827565963,4120.750587976735,4335.978246792278,4585.293862160514,4091.1216811856307,4619.5407102695635,4205.628449041618,4228.325455683534,4206.961185766745,4270.458333287486,4619.236693905897,4369.315273782164,0.0
4306.748877971938,4003.8332156111583,4257.784164217216,4121.293108006161,4336.6893562469395,4586.485410662478,4091.8308620835255,4619.119550497842,4205.136611919112,4228.587483807536,4207.7018132569765,4271.129637881409,4619.936858271783,4369.923855109525,0.0
4307.9683600825165,4004.9733231855575,4260.3768303628485,4122.102247910858,4337.358201576147,4587.808923819161,4092.626155331926,4618.698960929547,4204.672434147792,4228.871018292701,4208.354563486024,4271.823101101839,4620.740155822681,4370.817050867968,0.0
4309.4167172113575,4006.28052530086,4263.06645214693,4123.139235616739,4337.95501751854,4589.212354774221,4093.460444996207,4618.359636771548,4204.320790624241,4229.197623143254,4208.894574592775,4272.484943299071,4621.586006512827,4371.932211896452,0.0
4310.97349788287,4007.6693857418336,4265.636828877523,4124.334465936236,4338.459215907588,4590.63902296132,4094.2741848926244,4618.171502684184,4204.143606476245,4229.573660781497,4209.300426968586,4273.060279758102,4622.392011480706,4373.1685799316965,0.0
4312.495488364548,4009.038240761731,4267.883225850039,4125.596711156103,4338.861809499897,4592.03172095292,4095.00077480475,4618.183907409535,4204.171748598185,4229.987817408027,4209.556108108993,4273.502183584654,4623.063681701801,4374.399825684936,0.0
4313.836123322456,4010.2823996818483,4269.638583535277,4126.826116192706,4339.165920975988,4593.336617889892,4095.5739367491865,4618.419293975749,4204.401983494844,4230.412121001987,4209.653549534525,4273.78075113436,4623.507172586713,4375.491551172992,0.0
4314.866738833327,4011.308476895043,4270.79603566855,4127.928910073222,4339.385167698728,4594.506706244904,4095.936366521463,4618.871264635508,4204.799453998285,4230.806631575634,4209.595691434766,4273.890885299861,4623.643588440064,4376.321368295271,0.0
4315.496378274125,4012.0475693742874,4271.324370542986,4128.831401946332,4339.540100389412,4595.50461949112,4096.0485645527815,4619.507173799794,4205.305172789906,4231.127243221307,4209.399669865288,4273.857456533492,4623.422946684686,4376.798505692931,0.0
4315.686839123722,4012.4650689173213,4271.273806750511,4129.490871009733,4339.653257745227,4596.304711580475,4095.896502603011,4620.274569231956,4205.847128686119,4231.335297140588,4209.0993441016535,4273.736616184582,4622.835602010268,4376.879659386832,0.0
4315.460170434717,4012.56535935595,4270.7706344424305,4129.901420543365,4339.743705481952,4596.894328227019,4095.4967307775482,4621.110117237314,4206.352932356085,4231.4071406776775,4208.746123734402,4273.612366026303,4621.918944669328,4376.578099253109,0.0
4314.89686696821,4012.3904433689136,4270.000771218747,4130.093686626731,4339.822092884078,4597.274220110225,4094.8977179895833,4621.949227693454,4206.76163698059,4231.341539894387,4208.40704018421,4273.588044684098,4620.757590459697,4375.963898979466,0.0
4314.124431737115,4012.012552384122,4269.183908075409,4130.128342171014,4339.887240644224,4597.4580640942995,4094.176654142216,4622.7345279109195,4207.0325333737155,4231.1630630887,4208.1593084047745,4273.7731402961335,4619.476088726867,4375.154491301495,0.0
4313.297583087582,4011.5218466173837,4268.541440779487,4130.084436250761,4339.925060750695,4597.471088741316,4093.4315834853696,4623.421640788425,4207.149325478265,4230.920207951609,4208.081235180171,4274.266687830153,4618.224314166535,4374.296375183656,0.0
4312.572897988013,4011.011218743256,4268.262549047249,4130.044557968864,4339.910228987285,4597.347858703386,4092.769499770193,4623.981347094102,4207.119034864514,4230.678049137364,4208.240156039902,4275.139319747913,4617.157012179842,4373.5404460983455,0.0
4312.081831396069,4010.56079666486,4268.473382213701,4130.079432409007,4339.810543441001,4597.129361420562,4092.291793037834,4624.398030307335,4206.966079252471,4230.506347489281,4208.67895480096,4276.416644964509,4616.410202521773,4373.014776900715,0.0
4311.90659633283,4010.2248722987906,4269.214188095521,4130.234717560729,4339.593392591239,4596.859646244317,4092.0790555693798,4624.6651457171965,4206.722995414033,4230.465143224783,4209.403430115526,4278.066875145305,4616.078055304821,4372.7994605809145,0.0
4312.063186933927,4010.0236182637545,4270.4283376756475,4130.5224310584135,4339.233317732372,4596.582364554144,4092.1775983348234,4624.779141518487,4206.420010493373,4230.590606161673,4210.373122487439,4279.995385104306,4616.194212371175,4372.90813722544,0.0
4312.494861462096,4009.941140779013,4271.965630594196,4130.918643077635,4338.719372294351,4596.337617042451,4092.590001458865,4624.73363293929,4206.075939789681,4230.884143236175,4211.498061462622,4282.048147704093,4616.72119651188,4373.279998188507,0.0
4313.077798422397,4009.9302918321537,4273.600214259326,4131.367962496937,4338.060916056429,4596.159502341681,4093.2715839831444,4624.515597274826,4205.692627840488,4231.307375149755,4212.643192619953,4284.024782158489,4617.550516842526,4373.784480013008,0.0
4313.638646293174,4009.923429306184,4275.061208680886,4131.794116166593,4337.29065895264,4596.074665209313,4094.1338651117826,4624.104910273778,4205.254391722478,4231.784626612282,4213.641072154685,4285.700455312901,4618.51446677934,4374.238768922251,0.0
4313.98164082898,4009.8472008854055,4276.07204984354,4132.1148007608235,4336.464167320242,4596.101970054542,4095.055012708941,4623.477766839703,4204.732820224027,4232.2131927876935,4214.311959841559,4286.854314695541,4619.408673339982,4374.435986734793,0.0
4313.921224319653,4009.6386502694313,4276.392994339936,4132.258181691606,4335.655603590094,4596.253207510279,4095.8961082323676,4622.613583235386,4204.096061462062,4232.480110618156,4214.4889654410945,4287.3007869570765,4620.022528495582,4374.179924305144,0.0
4313.314988844078,4009.259657253688,4275.860452434566,4132.1780757319475,4334.950095376441,4596.53452668244,4096.52100639711,4621.504070165193,4203.3206593274035,4232.482784932232,4214.044703261727,4286.919212448395,4620.173071869596,4373.3208069193915,0.0
4312.091498648421,4008.7069898338486,4274.417005194211,4131.8650489211495,4334.433713183206,4596.948128492024,4096.816832657815,4620.162502124701,4202.403315254869,4232.149882916056,4212.915245129057,4285.677108603653,4619.737007240205,4371.786095521667,0.0
4310.268197948562,4008.0160239204683,4272.127131072716,4131.351355575117,4334.182473568207,4597.493702228554,4096.711895644729,4618.630947109057,4201.369815874689,4231.458622365279,4211.117203772357,4283.642954400721,4618.675519424919,4369.600869676313,0.0
4307.9560901373,4007.2573324476457,4269.175672256984,4130.7087119311645,4334.2519966833415,4598.16916113925,4096.188068412057,4616.983436697115,4200.278821649968,4230.445018849745,4208.754567574072,4280.985722220571,4617.047455955553,4366.893840549582,0.0
4305.34994468577,4006.5266462033446,4265.848619170861,4130.039145291807,4334.669392788617,4598.970424635081,4095.285486058539,4615.32372108881,4199.219171040468,4229.204760731305,4206.013342474252,4277.96027154747,4615.00812662371,4363.887267534848,0.0
4302.705104574304,4005.9298987556917,4262.498489316231,4129.460361915985,4335.428637459521,4599.890262938798,4094.098593960905,4613.777239880172,4198.3006235685925,4227.883954360469,4203.143910467214,4274.879869855497,4612.793185454145,4360.871630371568,0.0
4300.304140468058,4005.565960400204,4259.498993293743,4129.08802128615,4336.490171164233,4600.916499516812,4092.763959598147,4612.478049374549,4197.639281452189,4226.660738823629,4200.432975523643,4272.079166765527,4610.689429018215,4358.168404452513,0.0
